,Name,Cluster,Distance
133,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_89.png,5,3167.94
134,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_66.png,5,5511.83
135,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_150.png,8,9149.46
136,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_257.png,5,4867.73
137,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_275.png,8,3482.53
138,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_212.png,3,4261.78
139,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_56.png,5,2170.02
140,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_6.png,5,7235.38
141,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_21.png,5,7940.25
142,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_98.png,0,4535.06
143,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_162.png,3,6044.47
144,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_101.png,11,3622.27
145,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_127.png,5,5046.41
146,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_40.png,8,1841.57
147,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_174.png,5,3486.13
148,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_125.png,3,2036.69
149,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_255.png,5,4101.24
150,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_85.png,11,2077.1
151,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_293.png,3,3814.69
152,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_146.png,8,2459.7
153,/cephyr/NOBACKUP/groups/uu-it-gov/frames/tZ_qL9QgoIk/tZ_qL9QgoIk_65.png,5,1852.66
